Nome,Plataforma,Ano de lancamento,Genero,Publicadora,Vendas NA,Vendas EU,Vendas JP,Outras vendas,Vendas globais,Pontuacao da critica,Contagem de criticas,Pontuacao dos usuarios,Contagem de usuarios,Desenvolvedora,Classificacao
Wii Sports,0,2006.0,0,0,41.36,28.96,3.77,8.45,82.53,76.0,51.0,8,322.0,0,0
Mario Kart Wii,0,2008.0,2,0,15.68,12.76,3.79,3.29,35.52,82.0,73.0,8.3,709.0,0,0
Wii Sports Resort,0,2009.0,0,0,15.61,10.93,3.28,2.95,32.77,80.0,73.0,8,192.0,0,0
New Super Mario Bros.,3,2006.0,1,0,11.28,9.14,6.5,2.88,29.8,89.0,65.0,8.5,431.0,0,0
Wii Play,0,2006.0,5,0,13.96,9.18,2.93,2.84,28.92,58.0,41.0,6.6,129.0,0,0
New Super Mario Bros. Wii,0,2009.0,1,0,14.44,6.94,4.7,2.24,28.32,87.0,80.0,8.4,594.0,0,0
Mario Kart DS,3,2005.0,2,0,9.71,7.47,4.13,1.9,23.21,91.0,64.0,8.6,464.0,0,0
Wii Fit,0,2007.0,0,0,8.92,8.03,3.6,2.15,22.7,80.0,63.0,7.7,146.0,0,0
Kinect Adventures!,4,2010.0,5,1,15.0,4.89,0.24,1.69,21.81,61.0,45.0,6.3,106.0,2,0
Wii Fit Plus,0,2009.0,0,0,9.01,8.49,2.53,1.77,21.79,80.0,33.0,7.4,52.0,0,0
Grand Theft Auto V,5,2013.0,8,2,7.02,9.09,0.98,3.96,21.04,97.0,50.0,8.2,3994.0,3,1
Grand Theft Auto: San Andreas,6,2004.0,8,2,9.43,0.4,0.41,10.57,20.81,95.0,80.0,9,1588.0,3,1
Brain Age: Train Your Brain in Minutes a Day,3,2005.0,5,0,4.74,9.2,4.16,2.04,20.15,77.0,58.0,7.9,50.0,0,0
Grand Theft Auto V,4,2013.0,8,2,9.66,5.14,0.06,1.41,16.27,97.0,58.0,8.1,3711.0,3,1
Grand Theft Auto: Vice City,6,2002.0,8,2,8.41,5.49,0.47,1.78,16.15,95.0,62.0,8.7,730.0,3,1
Brain Age 2: More Training in Minutes a Day,3,2005.0,4,0,3.43,5.35,5.32,1.18,15.29,77.0,37.0,7.1,19.0,0,0
Gran Turismo 3: A-Spec,6,2001.0,2,3,6.85,5.09,1.87,1.16,14.98,95.0,54.0,8.4,314.0,4,0
Call of Duty: Modern Warfare 3,4,2011.0,6,4,9.04,4.24,0.13,1.32,14.73,88.0,81.0,3.4,8713.0,5,1
Call of Duty: Black Ops,4,2010.0,6,4,9.7,3.68,0.11,1.13,14.61,87.0,89.0,6.3,1454.0,6,1
Call of Duty: Black Ops II,5,2012.0,6,4,4.99,5.73,0.65,2.42,13.79,83.0,21.0,5.3,922.0,6,1
Call of Duty: Black Ops II,4,2012.0,6,4,8.25,4.24,0.07,1.12,13.67,83.0,73.0,4.8,2256.0,6,1
Call of Duty: Modern Warfare 2,4,2009.0,6,4,8.52,3.59,0.08,1.28,13.47,94.0,100.0,6.3,2698.0,7,1
Call of Duty: Modern Warfare 3,5,2011.0,6,4,5.54,5.73,0.49,1.57,13.32,88.0,39.0,3.2,5234.0,5,1
