Nome,Plataforma,Ano de lancamento,Genero,Publicadora,Vendas NA,Vendas EU,Vendas JP,Outras vendas,Vendas globais,Pontuacao da critica,Contagem de criticas,Pontuacao dos usuarios,Contagem de usuarios,Desenvolvedora,Classificacao,Media de pontuacao
Wii Sports,1,2006.0,1,1,41.36,28.96,3.77,8.45,82.53,76.0,51.0,8.0,322.0,1,1,42.0
Super Mario Bros.,2,1985.0,2,1,29.08,3.58,6.81,0.77,40.24,0.0,0.0,0.0,0.0,0,0,0.0
Mario Kart Wii,1,2008.0,3,1,15.68,12.76,3.79,3.29,35.52,82.0,73.0,8.3,709.0,1,1,45.15
Wii Sports Resort,1,2009.0,1,1,15.61,10.93,3.28,2.95,32.77,80.0,73.0,8.0,192.0,1,1,44.0
Pokemon Red/Pokemon Blue,3,1996.0,4,1,11.27,8.89,10.22,1.0,31.37,0.0,0.0,0.0,0.0,0,0,0.0
Tetris,3,1989.0,5,1,23.2,2.26,4.22,0.58,30.26,0.0,0.0,0.0,0.0,0,0,0.0
New Super Mario Bros.,4,2006.0,2,1,11.28,9.14,6.5,2.88,29.8,89.0,65.0,8.5,431.0,1,1,48.75
Wii Play,1,2006.0,6,1,13.96,9.18,2.93,2.84,28.92,58.0,41.0,6.6,129.0,1,1,32.3
New Super Mario Bros. Wii,1,2009.0,2,1,14.44,6.94,4.7,2.24,28.32,87.0,80.0,8.4,594.0,1,1,47.7
Duck Hunt,2,1984.0,7,1,26.93,0.63,0.28,0.47,28.31,0.0,0.0,0.0,0.0,0,0,0.0
Nintendogs,4,2005.0,8,1,9.05,10.95,1.93,2.74,24.67,0.0,0.0,0.0,0.0,0,0,0.0
Mario Kart DS,4,2005.0,3,1,9.71,7.47,4.13,1.9,23.21,91.0,64.0,8.6,464.0,1,1,49.8
Pokemon Gold/Pokemon Silver,3,1999.0,4,1,9.0,6.18,7.2,0.71,23.1,0.0,0.0,0.0,0.0,0,0,0.0
Wii Fit,1,2007.0,1,1,8.92,8.03,3.6,2.15,22.7,80.0,63.0,7.7,146.0,1,1,43.85
Kinect Adventures!,5,2010.0,6,2,15.0,4.89,0.24,1.69,21.81,61.0,45.0,6.3,106.0,3,1,33.65
Wii Fit Plus,1,2009.0,1,1,9.01,8.49,2.53,1.77,21.79,80.0,33.0,7.4,52.0,1,1,43.7
