Ano de lancamento,Classificacao,Genero,Nome,Plataforma
2009.0,0,0,NBA Live 10,4
1995.0,99,3,Metal Max Returns,7
2009.0,0,7,Girl Time,3
2005.0,0,0,SSX On Tour,6
1997.0,99,2,VMX Racing,12
1995.0,99,9,Zero Divide,12
2009.0,0,2,Dreamworks Madagascar Kartz,0
1996.0,99,9,Real Bout Garou Densetsu,23
2003.0,1,6,XIII,13
2007.0,2,0,Tony Hawk's Proving Ground,6
2003.0,0,0,NHL 2004,13
2008.0,99,8,Chou Gekijouban Keroro Gunsou 3: Tenkuu Daibouken de Arimasu!,3
2009.0,3,0,Tony Hawk: RIDE,4
2008.0,3,1,Space Chimps,4
2010.0,3,5,Michael Jackson: The Experience,0
2003.0,2,6,James Bond 007: Nightfire,8
2015.0,99,8,Disney Infinity 3.0,4
2010.0,99,8,God Eater,16
2008.0,0,5,1 vs. 100,3
2010.0,2,8,Clash of the Titans,4
2009.0,3,5,Family Party: 30 Great Games Outdoor Fun,0
2013.0,2,8,Dynasty Warriors 8: Xtreme Legends,5
2012.0,1,8,ZombiU,18
2014.0,99,3,Pokemon Omega Ruby/Pokemon Alpha Sapphire,10
2009.0,2,8,The Lord of the Rings: Conquest,14
2010.0,99,5,Starry ? Sky: In Summer,16
2008.0,3,1,The Tale of Despereaux,0
2003.0,0,0,ESPN NFL Football,6
2009.0,3,8,Tornado Outbreak,0
2015.0,99,8,TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.2,5
2001.0,99,4,Denki Blocks!,8
2010.0,2,7,The Sims 3: Fast Lane Stuff,14
2002.0,99,2,Totaled!,13
1998.0,99,9,Virtua Fighter 3tb,21
2005.0,3,1,Codename: Kids Next Door: Operation V.I.D.E.O.G.A.M.E.,19
2003.0,2,5,Midway Arcade Treasures,19
2010.0,0,0,Tony Hawk: Shred,4
2007.0,0,4,Planet Puzzle League,3
2009.0,1,6,Rogue Warrior,4
0.0,3,11,Advance Wars: Days of Ruin,3
2008.0,99,10,Togainu no Chi: True Blood,6
