Nome,Plataforma,Ano de lancamento,Genero,Publicadora,Vendas NA,Vendas EU,Vendas JP,Outras vendas,Vendas globais,Pontuacao da critica,Contagem de criticas,Pontuacao dos usuarios,Contagem de usuarios,Desenvolvedora,Classificacao,Media de pontuacao
Wii Sports,1,2006,1,1,41.36,28.96,3.77,8.45,82.53,76.0,51.0,8.0,322.0,1,1,42.0
Super Mario Bros.,2,1985,2,1,29.08,3.58,6.81,0.77,40.24,0.0,0.0,0.0,0.0,0,0,0.0
Mario Kart Wii,1,2008,3,1,15.68,12.76,3.79,3.29,35.52,82.0,73.0,8.3,709.0,1,1,45.15
Wii Sports Resort,1,2009,1,1,15.61,10.93,3.28,2.95,32.77,80.0,73.0,8.0,192.0,1,1,44.0
Pokemon Red/Pokemon Blue,3,1996,4,1,11.27,8.89,10.22,1.0,31.37,0.0,0.0,0.0,0.0,0,0,0.0
Tetris,3,1989,5,1,23.2,2.26,4.22,0.58,30.26,0.0,0.0,0.0,0.0,0,0,0.0
New Super Mario Bros.,4,2006,2,1,11.28,9.14,6.5,2.88,29.8,89.0,65.0,8.5,431.0,1,1,48.75
Wii Play,1,2006,6,1,13.96,9.18,2.93,2.84,28.92,58.0,41.0,6.6,129.0,1,1,32.3
New Super Mario Bros. Wii,1,2009,2,1,14.44,6.94,4.7,2.24,28.32,87.0,80.0,8.4,594.0,1,1,47.7
Duck Hunt,2,1984,7,1,26.93,0.63,0.28,0.47,28.31,0.0,0.0,0.0,0.0,0,0,0.0
Nintendogs,4,2005,8,1,9.05,10.95,1.93,2.74,24.67,0.0,0.0,0.0,0.0,0,0,0.0
Mario Kart DS,4,2005,3,1,9.71,7.47,4.13,1.9,23.21,91.0,64.0,8.6,464.0,1,1,49.8
Pokemon Gold/Pokemon Silver,3,1999,4,1,9.0,6.18,7.2,0.71,23.1,0.0,0.0,0.0,0.0,0,0,0.0
Wii Fit,1,2007,1,1,8.92,8.03,3.6,2.15,22.7,80.0,63.0,7.7,146.0,1,1,43.85
Kinect Adventures!,5,2010,6,2,15.0,4.89,0.24,1.69,21.81,61.0,45.0,6.3,106.0,3,1,33.65
Wii Fit Plus,1,2009,1,1,9.01,8.49,2.53,1.77,21.79,80.0,33.0,7.4,52.0,1,1,43.7
Grand Theft Auto V,6,2013,9,3,7.02,9.09,0.98,3.96,21.04,97.0,50.0,8.2,3994.0,4,2,52.6
Grand Theft Auto: San Andreas,7,2004,9,3,9.43,0.4,0.41,10.57,20.81,95.0,80.0,9.0,1588.0,4,2,52.0
Super Mario World,8,1990,2,1,12.78,3.75,3.54,0.55,20.61,0.0,0.0,0.0,0.0,0,0,0.0
Brain Age: Train Your Brain in Minutes a Day,4,2005,6,1,4.74,9.2,4.16,2.04,20.15,77.0,58.0,7.9,50.0,1,1,42.45
Pokemon Diamond/Pokemon Pearl,4,2006,4,1,6.38,4.46,6.04,1.36,18.25,0.0,0.0,0.0,0.0,0,0,0.0
Super Mario Land,3,1989,2,1,10.83,2.71,4.18,0.42,18.14,0.0,0.0,0.0,0.0,0,0,0.0
Super Mario Bros. 3,2,1988,2,1,9.54,3.44,3.84,0.46,17.28,0.0,0.0,0.0,0.0,0,0,0.0
Grand Theft Auto V,5,2013,9,3,9.66,5.14,0.06,1.41,16.27,97.0,58.0,8.1,3711.0,4,2,52.55
Grand Theft Auto: Vice City,7,2002,9,3,8.41,5.49,0.47,1.78,16.15,95.0,62.0,8.7,730.0,4,2,51.85
Pokemon Ruby/Pokemon Sapphire,9,2002,4,1,6.06,3.9,5.38,0.5,15.85,0.0,0.0,0.0,0.0,0,0,0.0
Brain Age 2: More Training in Minutes a Day,4,2005,5,1,3.43,5.35,5.32,1.18,15.29,77.0,37.0,7.1,19.0,1,1,42.05
Pokemon Black/Pokemon White,4,2010,4,1,5.51,3.17,5.65,0.8,15.14,0.0,0.0,0.0,0.0,0,0,0.0
Gran Turismo 3: A-Spec,7,2001,3,4,6.85,5.09,1.87,1.16,14.98,95.0,54.0,8.4,314.0,5,1,51.7
Call of Duty: Modern Warfare 3,5,2011,7,5,9.04,4.24,0.13,1.32,14.73,88.0,81.0,3.4,8713.0,6,2,45.7
Pokémon Yellow: Special Pikachu Edition,3,1998,4,1,5.89,5.04,3.12,0.59,14.64,0.0,0.0,0.0,0.0,0,0,0.0
Call of Duty: Black Ops 3,10,2015,7,5,6.03,5.86,0.36,2.38,14.63,0.0,0.0,0.0,0.0,0,0,0.0
Call of Duty: Black Ops,5,2010,7,5,9.7,3.68,0.11,1.13,14.61,87.0,89.0,6.3,1454.0,7,2,46.65
